Content ID,User ID,Type,Datetime,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,2020-11-07 09:43:50,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-01-06 19:13:01,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2021-04-09 02:46:20,photo,Studying,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,2021-03-28 21:15:26,photo,healthy eating,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,ef147ea5-9696-44d5-b6c2-a43f62fd8ce2,disgust,2020-08-04 05:40:33,photo,healthy eating,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,disgust,2021-01-14 07:21:32,video,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,10f311c3-f547-4260-8c0e-a155008b7936,disgust,2021-01-13 23:35:56,video,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,054b5d2a-7ee3-49c8-912a-1cf58389ae60,disgust,2021-02-11 20:10:20,video,dogs,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,85503a94-e733-486e-989e-12ff9b59f2d3,disgust,2021-05-27 01:44:22,photo,public speaking,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,1f81cb56-5258-4f9e-ab2c-4dfb581b44cb,disgust,2021-02-13 04:14:45,photo,public speaking,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,334e2fe8-6f2c-424c-8ed5-12c99f048722,disgust,2020-09-11 16:22:49,GIF,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,948f7e9d-49bb-4770-bc9d-cb3fb65cca15,disgust,2020-10-13 16:31:34,GIF,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,a559688e-3f10-436f-a25e-8ad553eacb89,disgust,2020-07-23 19:31:31,GIF,tennis,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,3e65775b-36e4-495d-9c45-28127fb3da5f,disgust,2020-12-08 13:12:56,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,92423e9a-4e8c-49bc-be75-c819912696ce,disgust,2021-01-05 13:15:46,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,317c70d5-fe65-4663-afb1-150108e0e55c,disgust,2020-11-08 02:43:54,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,cafa0d07-63be-4b5b-bc7f-c4f4091d403d,disgust,2021-04-19 01:45:56,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,9a5aca53-6263-485a-bf77-e60c4608fd26,disgust,2020-10-18 12:49:22,video,food,negative,0
f332d362-dc48-46c2-a64b-641157c0987e,1f7e22c8-558a-4b6f-a04f-b219593f029e,disgust,2021-02-15 20:35:25,GIF,soccer,negative,0
